Species	Kingdom	Class	Size (Mb)	GC%	Number of genes	Number of proteins	Publication year	Assembly status
Plasmodium falciparum 309.1	Protists	Apicomplexans	27.2553	19.8	-	-	2016	Scaffold
Candida albicans	Fungi	Ascomycetes	17.0714	33.7	-	-	2017	Scaffold
Saccharomyces cerevisiae YJM1199	Fungi	Ascomycetes	12.3011	38.3756	6662	5471	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.422231	43.5	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.411297	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM1202	Fungi	Ascomycetes	12.5098	38.4507	6785	5403	2015	Chromosome
Candida albicans	Fungi	Ascomycetes	12.5617	33.7	-	-	2019	Contig
Plasmodium falciparum 365.1	Protists	Apicomplexans	30.532	-	-	-	2016	Scaffold
Homo sapiens	Animals	Mammals	2898.28	40.9	-	-	2018	Contig
Pyricularia oryzae MG01	Fungi	Ascomycetes	38.9991	51.1	-	-	2015	Contig
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.9287	48.2	-	-	2018	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.7955	48.3	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.49038	42.9	-	-	2019	Contig
Fusarium oxysporum f. sp. niveum	Fungi	Ascomycetes	55.1275	47.3	-	-	2016	Scaffold
Heliconius melpomene aglaope	Animals	Insects	49.7631	31.2	-	-	2015	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	35.8276	48.5	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	40.7569	47.1	-	-	2018	Scaffold
Heliconius melpomene amaryllis	Animals	Insects	44.095	31.3	-	-	2015	Scaffold
Fusarium oxysporum f. sp. niveum	Fungi	Ascomycetes	51.2939	47.2	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.438855	43	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	35.0938	48.2	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.4051	48.2	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	39.3365	51	-	-	2017	Contig
Homo sapiens	Animals	Mammals	2868.13	40.9	-	-	2018	Contig
Plasmodium falciparum 326.1	Protists	Apicomplexans	31.5256	20.2	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM1208	Fungi	Ascomycetes	13.0594	38.688	7446	5394	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.405341	43.6	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.415893	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM1242	Fungi	Ascomycetes	12.1747	38.3443	6542	5402	2015	Chromosome
Plasmodium falciparum NF54	Protists	Apicomplexans	23.4356	19.3	5587	5100	2017	Scaffold
Homo sapiens	Animals	Mammals	2875.77	40.9	-	-	2018	Contig
Pyricularia oryzae	Fungi	Ascomycetes	38.7513	51.2	-	-	2017	Contig
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.4475	48.2	-	-	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.459	48.4	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.44213	42.9	-	-	2019	Contig
Fusarium oxysporum f. sp. niveum	Fungi	Ascomycetes	54.7991	47.3	-	-	2016	Scaffold
Heliconius melpomene aglaope	Animals	Insects	19.6328	32.4	-	-	2015	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	39.7821	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	36.3766	48.3	-	-	2018	Scaffold
Heliconius melpomene amaryllis	Animals	Insects	56.2894	31.5	-	-	2015	Scaffold
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	51.8822	47.8	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.425584	43.1	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.7491	48.3	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.4631	48.2	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	39.8812	50.6	-	-	2017	Contig
Homo sapiens	Animals	Mammals	2861.94	40.9	-	-	2018	Contig
Plasmodium falciparum 327.1	Protists	Apicomplexans	35.5167	20	-	-	2016	Contig
Saccharomyces cerevisiae YJM1244	Fungi	Ascomycetes	12.6675	38.6072	7136	5363	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.414506	43.5	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.424074	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM1248	Fungi	Ascomycetes	12.5207	38.504	6848	5319	2015	Chromosome
Plasmodium falciparum 377.1	Protists	Apicomplexans	37.2014	20	-	-	2016	Contig
Pyricularia oryzae Mo-nwi-55	Fungi	Ascomycetes	37.7645	51.6	-	-	2017	Contig
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.4461	48.2	-	-	2017	Scaffold
Aspergillus flavus	Fungi	Ascomycetes	36.6143	48.4	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.436432	43	-	-	2019	Contig
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	51.3228	47.7	-	-	2016	Scaffold
Heliconius melpomene aglaope	Animals	Insects	40.3819	31.1	-	-	2015	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	41.8418	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	42.6363	-	-	-	2018	Scaffold
Heliconius melpomene amaryllis	Animals	Insects	39.4955	31.9	-	-	2015	Scaffold
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	51.8046	47.8	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.423266	43.2	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	37.2511	48.3	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.3776	48.2	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	39.3831	51	-	-	2017	Contig
Plasmodium falciparum 397.1	Protists	Apicomplexans	37.7461	20.4	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM1250	Fungi	Ascomycetes	12.4871	38.4047	6525	5328	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.424341	43.5	-	-	2019	Contig
Oryza sativa	Plants	Land Plants	0.4183	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM1252	Fungi	Ascomycetes	12.5675	38.5547	7018	5391	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	43.8466	51	-	-	2017	Contig
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.4037	48.2	-	-	2017	Scaffold
Homo sapiens	Animals	Mammals	2823.84	40.9	-	-	2017	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.4015	48.3	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.416343	43.4	-	-	2019	Contig
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	50.0613	48	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	38.4646	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	40.1238	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	48.9524	48	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.426419	43.3	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.7583	48.3	-	-	2018	Scaffold
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.4422	48.2	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	42.8697	51.2	-	-	2017	Contig
Saccharomyces cerevisiae YJM1273	Fungi	Ascomycetes	12.5399	38.4983	6900	5467	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.418428	43.5	-	-	2019	Contig
Homo sapiens	Animals	Mammals	2736.13	40.4	-	-	2015	Scaffold
Homo sapiens	Animals	Mammals	2737.09	40.4	-	-	2015	Scaffold
Oryza sativa	Plants	Land Plants	0.415361	43.6	-	-	2019	Contig
Saccharomyces cerevisiae YJM1304	Fungi	Ascomycetes	12.3665	38.4291	6661	5381	2015	Chromosome
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.4488	48.2	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	42.4835	50.1	-	-	2018	Contig
Aspergillus flavus	Fungi	Ascomycetes	37.0208	48.3	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.433896	43.3	-	-	2019	Contig
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	49.5751	48.3	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	40.8323	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	36.3454	48.8	-	-	2018	Scaffold
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	51.284	47.8	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.445408	43.2	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.4202	48.3	-	-	2018	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	42.9322	50.1	-	-	2018	Contig
Saccharomyces cerevisiae YJM1307	Fungi	Ascomycetes	13.0625	38.709	7510	5414	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.420731	43.5	-	-	2019	Contig
Homo sapiens	Animals	Mammals	2814.37	38.8	-	-	2015	Scaffold
Homo sapiens	Animals	Mammals	2736.5	40.4	-	-	2015	Scaffold
Oryza sativa	Plants	Land Plants	0.416009	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM1311	Fungi	Ascomycetes	12.5492	38.503	6879	5437	2015	Chromosome
Pyricularia oryzae Mo-nwi-31	Fungi	Ascomycetes	37.3008	51.7	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	36.3782	48.4	-	-	2018	Scaffold
Oryza rufipogon	Plants	Land Plants	0.479941	42.8	-	-	2019	Contig
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	50.0118	47.8	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	36.625	48.6	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	65.2632	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	49.1223	47.8	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.4457	43.2	-	-	2019	Contig
Aspergillus flavus	Fungi	Ascomycetes	37.2414	48.1	-	-	2019	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	45.6736	50.7	-	-	2018	Contig
Saccharomyces cerevisiae YJM1326	Fungi	Ascomycetes	12.4065	38.3887	6661	5431	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.417059	43.5	-	-	2019	Contig
Homo sapiens	Animals	Mammals	2723.44	40.5	-	-	2015	Scaffold
Homo sapiens	Animals	Mammals	3070.98	40.7	-	-	2015	Scaffold
Oryza sativa	Plants	Land Plants	0.412137	43.6	-	-	2019	Contig
Saccharomyces cerevisiae YJM1332	Fungi	Ascomycetes	12.2673	38.426	6711	5462	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	44.5067	50	-	-	2018	Contig
Oryza rufipogon	Plants	Land Plants	0.442979	43.2	-	-	2019	Contig
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	50.0556	47.8	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	30.7452	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	35.2075	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	51.7856	47.8	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.437219	43.3	-	-	2019	Contig
Pyricularia oryzae	Fungi	Ascomycetes	43.9781	50	-	-	2018	Contig
Saccharomyces cerevisiae YJM1336	Fungi	Ascomycetes	12.9292	38.6379	7322	5421	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.415952	43.5	-	-	2019	Contig
Homo sapiens	Animals	Mammals	3068.06	40.7	-	-	2015	Scaffold
Homo sapiens	Animals	Mammals	2934.08	-	-	-	2016	Scaffold
Oryza sativa	Plants	Land Plants	0.420498	43.6	-	-	2019	Contig
Saccharomyces cerevisiae YJM1338	Fungi	Ascomycetes	12.2186	38.3858	6540	5420	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	44.2343	50	-	-	2018	Contig
Oryza rufipogon	Plants	Land Plants	0.4486729999999999	43.3	-	-	2019	Contig
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	51.5323	47.8	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	65.2402	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	41.4797	-	-	-	2018	Scaffold
Fusarium oxysporum	Fungi	Ascomycetes	48.9969	47.9	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	0.521122	42.6	-	-	2019	Contig
Pyricularia oryzae	Fungi	Ascomycetes	43.8596	50	-	-	2018	Contig
Saccharomyces cerevisiae YJM1341	Fungi	Ascomycetes	12.5251	38.518	6931	5445	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.41464	43.5	-	-	2019	Contig
Homo sapiens	Animals	Mammals	5712.52	40	-	-	2017	Scaffold
Homo sapiens	Animals	Mammals	5712.43	40	-	-	2017	Scaffold
Oryza sativa	Plants	Land Plants	0.415805	43.5	-	-	2019	Contig
Saccharomyces cerevisiae YJM1342	Fungi	Ascomycetes	12.6226	38.484	6912	5409	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	41.4713	50.2	-	-	2018	Contig
Oryza rufipogon	Plants	Land Plants	384.518	43.9	-	-	2016	Contig
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	50.6492	47.7	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	36.7167	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	38.4941	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. lycopersici 4287	Fungi	Ascomycetes	51.0248	47.8	-	-	2016	Scaffold
Oryza rufipogon	Plants	Land Plants	12.7409	42.6	-	-	2014	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	44.4061	50	-	-	2018	Contig
Saccharomyces cerevisiae YJM1355	Fungi	Ascomycetes	12.943	38.6144	7179	5371	2015	Chromosome
Oryza sativa	Plants	Land Plants	0.4142520000000001	43.5	-	-	2019	Contig
Homo sapiens	Animals	Mammals	5825.42	39.9	-	-	2017	Scaffold
Homo sapiens	Animals	Mammals	5702.2	40.1	-	-	2017	Scaffold
Saccharomyces cerevisiae YJM1356	Fungi	Ascomycetes	12.5725	38.5384	7038	5465	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	46.4159	51.1	-	-	2018	Contig
Fusarium oxysporum f. sp. melonis	Fungi	Ascomycetes	54.4989	47.5	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	51.7	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	72.3104	42.8	13738	13741	2018	Contig
Fusarium oxysporum f. sp. melonis	Fungi	Ascomycetes	57.7269	45.4	-	-	2016	Scaffold
Pyricularia oryzae HN19311	Fungi	Ascomycetes	36.6575	51.8	-	-	2013	Scaffold
Saccharomyces cerevisiae YJM1381	Fungi	Ascomycetes	12.4062	38.4536	6806	5470	2015	Chromosome
Homo sapiens	Animals	Mammals	5691.91	40	-	-	2017	Scaffold
Homo sapiens	Animals	Mammals	5698.02	40	-	-	2017	Scaffold
Saccharomyces cerevisiae YJM1383	Fungi	Ascomycetes	12.5861	38.5049	6885	5427	2015	Chromosome
Pyricularia oryzae FJ81278	Fungi	Ascomycetes	37.8739	51.4	-	-	2013	Scaffold
Fusarium oxysporum f. sp. melonis	Fungi	Ascomycetes	52.7615	47.5	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	68.4489	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	67.4027	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. melonis	Fungi	Ascomycetes	57.7384	45.5	-	-	2016	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	40.3061	50.7	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM1385	Fungi	Ascomycetes	12.9205	38.6357	7279	5441	2015	Chromosome
Homo sapiens	Animals	Mammals	5749.14	39.8	-	-	2017	Scaffold
Homo sapiens	Animals	Mammals	2867.53	-	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1386	Fungi	Ascomycetes	12.6155	38.5142	6875	5377	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	41.6013	50.4	-	-	2016	Scaffold
Fusarium oxysporum f. sp. melonis	Fungi	Ascomycetes	52.9289	47.8	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	66.9923	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	67.8873	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. melonis	Fungi	Ascomycetes	53.6746	47.7	-	-	2016	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	39.3255	51.3	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM1387	Fungi	Ascomycetes	12.821	38.6424	7218	5453	2015	Chromosome
Homo sapiens	Animals	Mammals	2864.64	-	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	2877.64	-	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1388	Fungi	Ascomycetes	12.5221	38.5258	6935	5398	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	39.3768	51.2	-	-	2016	Scaffold
Fusarium oxysporum f. sp. melonis	Fungi	Ascomycetes	51.8972	47.6	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	70.10300000000001	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	68.4611	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. melonis	Fungi	Ascomycetes	52.6019	47.7	-	-	2016	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	41.3441	50.2	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM1389	Fungi	Ascomycetes	12.2528	38.4165	6590	5385	2015	Chromosome
Homo sapiens	Animals	Mammals	2908.49	-	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	2914.89	-	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1399	Fungi	Ascomycetes	12.5094	38.4344	6487	5227	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	42.9622	49.5	-	-	2016	Scaffold
Fusarium oxysporum f. sp. lycopersici	Fungi	Ascomycetes	51.7287	47.8	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	66.7997	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	69.2902	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. melonis	Fungi	Ascomycetes	52.9425	47.8	-	-	2016	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	42.0845	49.9	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM1400	Fungi	Ascomycetes	12.3575	38.3824	6623	5414	2015	Chromosome
Homo sapiens	Animals	Mammals	2882.36	-	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	2885.58	-	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1401	Fungi	Ascomycetes	12.1686	38.3385	6386	5362	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	43.6258	49.4	-	-	2016	Scaffold
Fusarium oxysporum f. sp. cucumerinum	Fungi	Ascomycetes	48.6596	47.6	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	69.6776	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	67.4265	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. ciceris	Fungi	Ascomycetes	54.813	46.1	-	-	2016	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	34.8153	51.8	-	-	2016	Scaffold
Saccharomyces cerevisiae YJM1402	Fungi	Ascomycetes	12.5655	38.5097	6923	5452	2015	Chromosome
Homo sapiens	Animals	Mammals	2907.65	-	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	2865.89	-	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1415	Fungi	Ascomycetes	12.9341	38.6897	7422	5469	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	38.9347	51.1	-	-	2017	Scaffold
Fusarium oxysporum f. sp. melongenae	Fungi	Ascomycetes	53.9864	46.4	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	69.0399	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	67.6052	-	-	-	2018	Scaffold
Fusarium oxysporum	Fungi	Ascomycetes	51.3186	47.6	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	39.2722	51	-	-	2017	Scaffold
Saccharomyces cerevisiae YJM1417	Fungi	Ascomycetes	12.703	38.6142	7207	5441	2015	Chromosome
Homo sapiens	Animals	Mammals	2863.32	-	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	2892.54	-	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1418	Fungi	Ascomycetes	12.4463	38.4638	6770	5424	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	42.437	50.1	-	-	2017	Scaffold
Fusarium oxysporum f. sp. narcissi	Fungi	Ascomycetes	55.525	47.8	-	-	2017	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	68.0677	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	66.8156	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. nicotianae	Fungi	Ascomycetes	49.7682	47.5	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	42.6706	50.1	-	-	2017	Scaffold
Saccharomyces cerevisiae YJM1419	Fungi	Ascomycetes	13.5384	38.891	8081	5412	2015	Chromosome
Homo sapiens	Animals	Mammals	2854.96	-	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	2935.52	-	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1433	Fungi	Ascomycetes	12.5256	38.5315	6914	5379	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	41.7719	50.4	-	-	2017	Scaffold
Fusarium oxysporum f. sp. momordicae	Fungi	Ascomycetes	51.0377	47.4	-	-	2017	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	71.4453	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	69.8098	43	-	-	2018	Scaffold
Fusarium oxysporum f. sp. tulipae	Fungi	Ascomycetes	54.3433	47.2	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	42.9883	50.1	-	-	2017	Scaffold
Saccharomyces cerevisiae YJM1434	Fungi	Ascomycetes	12.5479	38.5166	6862	5466	2015	Chromosome
Homo sapiens	Animals	Mammals	5687.9	40.3	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	5709.79	40	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1439	Fungi	Ascomycetes	12.9281	38.6753	7351	5376	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	42.4455	50.1	-	-	2017	Scaffold
Fusarium oxysporum f. sp. luffae	Fungi	Ascomycetes	48.2692	47.6	-	-	2017	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	69.26	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	70.0077	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. momordicae	Fungi	Ascomycetes	51.5191	47.5	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	38.0289	51.2	-	-	2017	Scaffold
Saccharomyces cerevisiae YJM1443	Fungi	Ascomycetes	12.0458	38.3622	6391	5283	2015	Chromosome
Homo sapiens	Animals	Mammals	5793.37	39.9	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	5745.6	40.1	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1444	Fungi	Ascomycetes	12.2635	38.4195	6578	5362	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	37.4902	51.4	-	-	2017	Scaffold
Fusarium oxysporum f. sp. lagenariae	Fungi	Ascomycetes	54.6462	47.3	-	-	2017	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	69.9418	-	-	-	2018	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	67.1965	-	-	-	2018	Scaffold
Fusarium oxysporum f. sp. gladioli	Fungi	Ascomycetes	53.2273	47.5	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	42.4782	48.7	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1447	Fungi	Ascomycetes	12.2163	38.3352	6300	5224	2015	Chromosome
Homo sapiens	Animals	Mammals	5697.34	39.9	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	5829.2	40.1	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1450	Fungi	Ascomycetes	12.8449	38.7131	7373	5377	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	43.3563	49.4	-	-	2018	Scaffold
Fusarium oxysporum f. sp. gladioli	Fungi	Ascomycetes	56.3281	47.2	-	-	2017	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	66.8704	-	-	-	2018	Scaffold
Fusarium oxysporum	Fungi	Ascomycetes	50.4036	47.5	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	39.237	51.1	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1460	Fungi	Ascomycetes	12.6569	38.6308	7163	5379	2015	Chromosome
Homo sapiens	Animals	Mammals	5688.87	40.1	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	5685.21	40.1	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1463	Fungi	Ascomycetes	13.3898	38.8943	7960	5371	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	42.2888	49.4	-	-	2018	Scaffold
Fusarium oxysporum	Fungi	Ascomycetes	59.4208	46.5	-	-	2017	Scaffold
Fusarium oxysporum	Fungi	Ascomycetes	50.4106	47.5	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	43.5351	49.2	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1477	Fungi	Ascomycetes	12.1849	38.4039	6607	5429	2015	Chromosome
Homo sapiens	Animals	Mammals	5784.88	39.8	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	5746.7	40	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1478	Fungi	Ascomycetes	12.7035	38.5438	6997	5414	2015	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	42.713	49.7	-	-	2018	Scaffold
Fusarium oxysporum	Fungi	Ascomycetes	47.2337	47.7	-	-	2017	Scaffold
Fusarium oxysporum f. sp. nicotianae	Fungi	Ascomycetes	51.0411	47.3	-	-	2017	Scaffold
Pyricularia oryzae	Fungi	Ascomycetes	40.5036	50.4	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1479	Fungi	Ascomycetes	12.4266	38.4213	6708	5411	2015	Chromosome
Homo sapiens	Animals	Mammals	5712.49	40	-	-	2018	Scaffold
Homo sapiens	Animals	Mammals	5701.03	40	-	-	2018	Scaffold
Saccharomyces cerevisiae YJM1526	Fungi	Ascomycetes	12.5274	38.5112	6862	5363	2015	Chromosome
